policy,cycle,metric,value
N,1,current_fact,1
N,1,confabulation,1
N,1,relationship,1
N,1,reunion,1
N,1,overall,1
N,1,bytes,865
N,1,noiseCount,1
N,1,fabricatedDates,1
N,2,current_fact,1
N,2,confabulation,1
N,2,relationship,1
N,2,reunion,1
N,2,salience,1
N,2,overall,1
N,2,bytes,1507
N,2,noiseCount,2
N,2,fabricatedDates,2
N,3,current_fact,1
N,3,confabulation,1
N,3,relationship,1
N,3,reunion,1
N,3,salience,1
N,3,overall,1
N,3,bytes,2164
N,3,noiseCount,2
N,3,fabricatedDates,3
N,4,current_fact,1
N,4,confabulation,1
N,4,relationship,1
N,4,reunion,1
N,4,salience,1
N,4,overall,1
N,4,bytes,2541
N,4,noiseCount,3
N,4,fabricatedDates,2
N,5,current_fact,1
N,5,confabulation,1
N,5,relationship,1
N,5,reunion,1
N,5,salience,0.8571428571428571
N,5,overall,0.9714285714285713
N,5,bytes,3155
N,5,noiseCount,2
N,5,fabricatedDates,2
N,6,current_fact,1
N,6,confabulation,1
N,6,relationship,1
N,6,reunion,1
N,6,salience,0.8571428571428571
N,6,overall,0.9714285714285713
N,6,bytes,4150
N,6,noiseCount,1
N,6,fabricatedDates,3
N,7,current_fact,1
N,7,supersession,1
N,7,lineage,1
N,7,confabulation,1
N,7,relationship,1
N,7,reunion,1
N,7,salience,0.8571428571428571
N,7,overall,0.9795918367346939
N,7,bytes,4843
N,7,noiseCount,1
N,7,fabricatedDates,5
N,8,current_fact,1
N,8,supersession,1
N,8,lineage,1
N,8,confabulation,1
N,8,relationship,1
N,8,reunion,1
N,8,salience,0.8571428571428571
N,8,overall,0.9795918367346939
N,8,bytes,5069
N,8,noiseCount,1
N,8,fabricatedDates,5
N,9,current_fact,1
N,9,supersession,1
N,9,lineage,1
N,9,confabulation,1
N,9,relationship,1
N,9,reunion,1
N,9,salience,0.8571428571428571
N,9,overall,0.9795918367346939
N,9,bytes,4102
N,9,noiseCount,0
N,9,fabricatedDates,2
N,10,current_fact,1
N,10,supersession,1
N,10,lineage,1
N,10,confabulation,1
N,10,relationship,1
N,10,reunion,1
N,10,salience,0.8571428571428571
N,10,overall,0.9795918367346939
N,10,bytes,4835
N,10,noiseCount,2
N,10,fabricatedDates,2
N,11,current_fact,0.8666666666666666
N,11,supersession,0.75
N,11,lineage,0.6666666666666666
N,11,confabulation,1
N,11,relationship,1
N,11,reunion,1
N,11,salience,0.8571428571428571
N,11,overall,0.8772108843537414
N,11,bytes,4556
N,11,noiseCount,0
N,11,fabricatedDates,4
N,12,current_fact,0.8666666666666666
N,12,supersession,0.75
N,12,lineage,0.6666666666666666
N,12,confabulation,1
N,12,relationship,1
N,12,reunion,1
N,12,salience,0.8571428571428571
N,12,overall,0.8772108843537414
N,12,bytes,4478
N,12,noiseCount,0
N,12,fabricatedDates,4
C,1,current_fact,1
C,1,confabulation,1
C,1,relationship,1
C,1,reunion,1
C,1,overall,1
C,1,bytes,1192
C,1,noiseCount,0
C,1,fabricatedDates,1
C,2,current_fact,1
C,2,confabulation,1
C,2,relationship,1
C,2,reunion,1
C,2,salience,1
C,2,overall,1
C,2,bytes,2145
C,2,noiseCount,0
C,2,fabricatedDates,2
C,3,current_fact,1
C,3,confabulation,1
C,3,relationship,1
C,3,reunion,1
C,3,salience,1
C,3,overall,1
C,3,bytes,2702
C,3,noiseCount,0
C,3,fabricatedDates,3
C,4,current_fact,1
C,4,confabulation,1
C,4,relationship,1
C,4,reunion,1
C,4,salience,1
C,4,overall,1
C,4,bytes,4415
C,4,noiseCount,0
C,4,fabricatedDates,3
C,5,current_fact,1
C,5,confabulation,1
C,5,relationship,1
C,5,reunion,1
C,5,salience,1
C,5,overall,1
C,5,bytes,5198
C,5,noiseCount,0
C,5,fabricatedDates,3
C,6,current_fact,1
C,6,confabulation,1
C,6,relationship,1
C,6,reunion,1
C,6,salience,1
C,6,overall,1
C,6,bytes,6742
C,6,noiseCount,0
C,6,fabricatedDates,4
C,7,current_fact,1
C,7,supersession,1
C,7,lineage,1
C,7,confabulation,1
C,7,relationship,1
C,7,reunion,1
C,7,salience,1
C,7,overall,1
C,7,bytes,7768
C,7,noiseCount,0
C,7,fabricatedDates,6
C,8,current_fact,1
C,8,supersession,1
C,8,lineage,1
C,8,confabulation,1
C,8,relationship,1
C,8,reunion,1
C,8,salience,1
C,8,overall,1
C,8,bytes,8631
C,8,noiseCount,0
C,8,fabricatedDates,7
C,9,current_fact,1
C,9,supersession,1
C,9,lineage,1
C,9,confabulation,1
C,9,relationship,1
C,9,reunion,1
C,9,salience,1
C,9,overall,1
C,9,bytes,10283
C,9,noiseCount,0
C,9,fabricatedDates,7
C,10,current_fact,1
C,10,supersession,1
C,10,lineage,1
C,10,confabulation,1
C,10,relationship,1
C,10,reunion,1
C,10,salience,1
C,10,overall,1
C,10,bytes,11351
C,10,noiseCount,0
C,10,fabricatedDates,7
C,11,current_fact,1
C,11,supersession,1
C,11,lineage,1
C,11,confabulation,1
C,11,relationship,1
C,11,reunion,1
C,11,salience,1
C,11,overall,1
C,11,bytes,12754
C,11,noiseCount,0
C,11,fabricatedDates,7
C,12,current_fact,1
C,12,supersession,1
C,12,lineage,1
C,12,confabulation,1
C,12,relationship,1
C,12,reunion,1
C,12,salience,1
C,12,overall,1
C,12,bytes,14410
C,12,noiseCount,0
C,12,fabricatedDates,7
