policy,cycle,metric,value
C,1,current_fact,1
C,1,confabulation,1
C,1,relationship,1
C,1,reunion,1
C,1,overall,1
C,1,bytes,1288
C,1,noiseCount,0
C,1,fabricatedDates,1
C,2,current_fact,1
C,2,confabulation,1
C,2,relationship,1
C,2,reunion,1
C,2,salience,1
C,2,overall,1
C,2,bytes,2358
C,2,noiseCount,0
C,2,fabricatedDates,2
C,3,current_fact,1
C,3,confabulation,1
C,3,relationship,1
C,3,reunion,1
C,3,salience,1
C,3,overall,1
C,3,bytes,3007
C,3,noiseCount,0
C,3,fabricatedDates,3
C,4,current_fact,1
C,4,confabulation,1
C,4,relationship,1
C,4,reunion,1
C,4,salience,1
C,4,overall,1
C,4,bytes,4066
C,4,noiseCount,1
C,4,fabricatedDates,4
C,5,current_fact,1
C,5,confabulation,1
C,5,relationship,1
C,5,reunion,1
C,5,salience,1
C,5,overall,1
C,5,bytes,4928
C,5,noiseCount,1
C,5,fabricatedDates,4
C,6,current_fact,1
C,6,confabulation,1
C,6,relationship,1
C,6,reunion,1
C,6,salience,1
C,6,overall,1
C,6,bytes,6081
C,6,noiseCount,1
C,6,fabricatedDates,5
C,7,current_fact,1
C,7,supersession,1
C,7,lineage,1
C,7,confabulation,1
C,7,relationship,1
C,7,reunion,1
C,7,salience,1
C,7,overall,1
C,7,bytes,7316
C,7,noiseCount,1
C,7,fabricatedDates,7
C,8,current_fact,1
C,8,supersession,1
C,8,lineage,1
C,8,confabulation,1
C,8,relationship,1
C,8,reunion,1
C,8,salience,1
C,8,overall,1
C,8,bytes,9022
C,8,noiseCount,0
C,8,fabricatedDates,7
C,9,current_fact,1
C,9,supersession,1
C,9,lineage,1
C,9,confabulation,1
C,9,relationship,1
C,9,reunion,1
C,9,salience,1
C,9,overall,1
C,9,bytes,11759
C,9,noiseCount,0
C,9,fabricatedDates,7
C,10,current_fact,1
C,10,supersession,1
C,10,lineage,1
C,10,confabulation,1
C,10,relationship,1
C,10,reunion,1
C,10,salience,1
C,10,overall,1
C,10,bytes,14018
C,10,noiseCount,0
C,10,fabricatedDates,7
C,11,current_fact,1
