policy,cycle,metric,value
C,1,current_fact,1
C,1,confabulation,1
C,1,relationship,1
C,1,reunion,1
C,1,overall,1
C,1,bytes,1084
C,1,noiseCount,0
C,1,fabricatedDates,1
C,2,current_fact,1
C,2,confabulation,1
C,2,relationship,1
C,2,reunion,1
C,2,salience,1
C,2,overall,1
C,2,bytes,2065
C,2,noiseCount,0
C,2,fabricatedDates,2
C,3,current_fact,1
C,3,confabulation,1
C,3,relationship,1
C,3,reunion,1
C,3,salience,1
C,3,overall,1
C,3,bytes,2655
C,3,noiseCount,0
C,3,fabricatedDates,3
C,4,current_fact,1
C,4,confabulation,1
C,4,relationship,1
C,4,reunion,1
C,4,salience,1
C,4,overall,1
C,4,bytes,3976
C,4,noiseCount,0
C,4,fabricatedDates,4
C,5,current_fact,1
C,5,confabulation,1
C,5,relationship,1
C,5,reunion,1
C,5,salience,1
C,5,overall,1
C,5,bytes,4895
C,5,noiseCount,0
C,5,fabricatedDates,4
C,6,current_fact,1
C,6,confabulation,1
C,6,relationship,1
C,6,reunion,1
C,6,salience,1
C,6,overall,1
C,6,bytes,5849
C,6,noiseCount,0
C,6,fabricatedDates,5
C,7,current_fact,1
C,7,supersession,1
C,7,lineage,1
C,7,confabulation,1
C,7,relationship,1
C,7,reunion,1
C,7,salience,1
C,7,overall,1
C,7,bytes,6866
C,7,noiseCount,0
C,7,fabricatedDates,7
C,8,current_fact,1
C,8,supersession,1
C,8,lineage,1
C,8,confabulation,1
C,8,relationship,1
C,8,reunion,1
C,8,salience,1
C,8,overall,1
C,8,bytes,7328
C,8,noiseCount,0
C,8,fabricatedDates,8
C,9,current_fact,1
C,9,supersession,1
C,9,lineage,1
C,9,confabulation,1
C,9,relationship,1
C,9,reunion,1
C,9,salience,1
C,9,overall,1
C,9,bytes,9061
C,9,noiseCount,0
C,9,fabricatedDates,8
C,10,current_fact,1
C,10,supersession,1
C,10,lineage,1
C,10,confabulation,1
C,10,relationship,1
C,10,reunion,1
C,10,salience,1
C,10,overall,1
C,10,bytes,10141
C,10,noiseCount,0
C,10,fabricatedDates,8
C,11,current_fact,1
C,11,supersession,1
C,11,lineage,1
C,11,confabulation,1
C,11,relationship,1
C,11,reunion,1
C,11,salience,1
C,11,overall,1
C,11,bytes,11959
C,11,noiseCount,0
C,11,fabricatedDates,11
C,12,current_fact,0.9333333333333332
C,12,supersession,1
C,12,lineage,1
C,12,confabulation,1
C,12,relationship,1
C,12,reunion,1
C,12,salience,1
C,12,overall,0.9904761904761905
C,12,bytes,14056
C,12,noiseCount,0
C,12,fabricatedDates,11
C,13,current_fact,1
C,13,trait,1
C,13,salience,1
C,13,overall,1
C,13,bytes,15589
C,13,noiseCount,0
C,13,fabricatedDates,11
C,14,current_fact,1
C,14,relationship,1
C,14,trait,1
C,14,salience,1
C,14,overall,1
C,14,bytes,15855
C,14,noiseCount,0
C,14,fabricatedDates,11
C,15,current_fact,1
C,15,relationship,1
C,15,trait,1
C,15,salience,1
C,15,overall,1
C,15,bytes,16306
C,15,noiseCount,0
C,15,fabricatedDates,12
C,16,current_fact,1
C,16,relationship,1
C,16,trait,1
C,16,salience,1
C,16,overall,1
C,16,bytes,17355
C,16,noiseCount,0
C,16,fabricatedDates,12
C,17,current_fact,1
C,17,relationship,1
C,17,salience,1
C,17,overall,1
C,17,bytes,18599
C,17,noiseCount,1
C,17,fabricatedDates,12
C,18,current_fact,1
C,18,relationship,1
C,18,salience,1
C,18,overall,1
C,18,bytes,18778
C,18,noiseCount,1
C,18,fabricatedDates,12
C,19,current_fact,1
C,19,confabulation,0
C,19,relationship,1
C,19,salience,1
C,19,overall,0.75
C,19,bytes,20081
C,19,noiseCount,1
C,19,fabricatedDates,13
C,20,current_fact,1
C,20,confabulation,0
C,20,relationship,1
C,20,salience,1
C,20,overall,0.75
C,20,bytes,20323
C,20,noiseCount,1
C,20,fabricatedDates,13
C,21,current_fact,1
C,21,confabulation,0
C,21,relationship,1
C,21,salience,1
C,21,overall,0.75
C,21,bytes,21641
C,21,noiseCount,1
C,21,fabricatedDates,13
C,22,current_fact,1
C,22,confabulation,0
C,22,relationship,1
C,22,salience,1
C,22,overall,0.75
C,22,bytes,22949
C,22,noiseCount,1
C,22,fabricatedDates,14
C,23,current_fact,1
C,23,confabulation,0
C,23,relationship,1
C,23,salience,1
C,23,overall,0.75
C,23,bytes,24375
C,23,noiseCount,1
C,23,fabricatedDates,15
C,24,current_fact,1
C,24,lineage,0
C,24,confabulation,0
C,24,relationship,1
C,24,reunion,1
C,24,trait,1
C,24,salience,1
C,24,overall,0.7142857142857143
C,24,bytes,24246
C,24,noiseCount,1
C,24,fabricatedDates,12
