policy,cycle,metric,value
C,1,current_fact,1
C,1,confabulation,1
C,1,relationship,1
C,1,reunion,1
C,1,overall,1
C,1,bytes,1087
C,1,noiseCount,0
C,1,fabricatedDates,1
C,2,current_fact,1
C,2,confabulation,1
C,2,relationship,1
C,2,reunion,1
C,2,salience,1
C,2,overall,1
C,2,bytes,2154
C,2,noiseCount,0
C,2,fabricatedDates,2
C,3,current_fact,1
C,3,confabulation,1
C,3,relationship,1
C,3,reunion,1
C,3,salience,1
C,3,overall,1
C,3,bytes,2763
C,3,noiseCount,0
C,3,fabricatedDates,3
C,4,current_fact,1
C,4,confabulation,1
C,4,relationship,1
C,4,reunion,1
C,4,salience,1
C,4,overall,1
C,4,bytes,3772
C,4,noiseCount,0
C,4,fabricatedDates,3
C,5,current_fact,1
C,5,confabulation,1
C,5,relationship,1
C,5,reunion,1
C,5,salience,0.8571428571428571
C,5,overall,0.9714285714285713
C,5,bytes,4466
C,5,noiseCount,0
C,5,fabricatedDates,3
C,6,current_fact,1
C,6,confabulation,1
C,6,relationship,1
C,6,reunion,1
C,6,salience,0.8571428571428571
C,6,overall,0.9714285714285713
C,6,bytes,5706
C,6,noiseCount,0
C,6,fabricatedDates,4
C,7,current_fact,1
C,7,supersession,1
C,7,lineage,1
C,7,confabulation,1
C,7,relationship,1
C,7,reunion,1
C,7,salience,0.8571428571428571
C,7,overall,0.9795918367346939
C,7,bytes,6747
C,7,noiseCount,0
C,7,fabricatedDates,6
C,8,current_fact,1
C,8,supersession,1
C,8,lineage,1
C,8,confabulation,1
C,8,relationship,1
C,8,reunion,1
C,8,salience,0.8571428571428571
C,8,overall,0.9795918367346939
C,8,bytes,7258
C,8,noiseCount,0
C,8,fabricatedDates,6
C,9,current_fact,1
C,9,supersession,1
C,9,lineage,1
C,9,confabulation,1
C,9,relationship,1
C,9,reunion,1
C,9,salience,0.8571428571428571
C,9,overall,0.9795918367346939
C,9,bytes,8853
C,9,noiseCount,0
C,9,fabricatedDates,6
C,10,current_fact,1
C,10,supersession,1
C,10,lineage,1
C,10,confabulation,1
C,10,relationship,1
C,10,reunion,1
C,10,salience,0.8571428571428571
C,10,overall,0.9795918367346939
C,10,bytes,9576
C,10,noiseCount,0
C,10,fabricatedDates,6
C,11,current_fact,1
C,11,supersession,1
C,11,lineage,1
C,11,confabulation,1
C,11,relationship,1
C,11,reunion,1
C,11,salience,0.8571428571428571
C,11,overall,0.9795918367346939
C,11,bytes,11192
C,11,noiseCount,0
C,11,fabricatedDates,7
C,12,current_fact,1
C,12,supersession,1
C,12,lineage,1
C,12,confabulation,1
C,12,relationship,1
C,12,reunion,1
C,12,salience,0.8571428571428571
C,12,overall,0.9795918367346939
C,12,bytes,13113
C,12,noiseCount,0
C,12,fabricatedDates,7
C,13,current_fact,1
C,13,trait,1
C,13,salience,0.8571428571428571
C,13,overall,0.9523809523809524
C,13,bytes,15142
C,13,noiseCount,0
C,13,fabricatedDates,7
C,14,current_fact,1
C,14,relationship,1
C,14,trait,1
C,14,salience,0.8571428571428571
C,14,overall,0.9642857142857143
C,14,bytes,15763
C,14,noiseCount,0
C,14,fabricatedDates,8
C,15,current_fact,1
C,15,relationship,1
C,15,trait,1
C,15,salience,0.8571428571428571
C,15,overall,0.9642857142857143
C,15,bytes,16103
C,15,noiseCount,0
C,15,fabricatedDates,8
C,16,current_fact,1
C,16,relationship,1
C,16,trait,1
C,16,salience,0.8571428571428571
C,16,overall,0.9642857142857143
C,16,bytes,17269
C,16,noiseCount,0
C,16,fabricatedDates,8
C,17,current_fact,1
C,17,relationship,1
C,17,salience,0.8571428571428571
C,17,overall,0.9523809523809524
C,17,bytes,18272
C,17,noiseCount,0
C,17,fabricatedDates,8
C,18,current_fact,1
C,18,relationship,1
C,18,salience,0.8571428571428571
C,18,overall,0.9523809523809524
C,18,bytes,18876
C,18,noiseCount,0
C,18,fabricatedDates,9
C,19,current_fact,1
C,19,confabulation,0
C,19,relationship,1
C,19,salience,0.8571428571428571
C,19,overall,0.7142857142857143
C,19,bytes,20424
C,19,noiseCount,0
C,19,fabricatedDates,9
C,20,current_fact,1
C,20,confabulation,0
C,20,relationship,1
C,20,salience,0.8571428571428571
C,20,overall,0.7142857142857143
C,20,bytes,20751
C,20,noiseCount,0
C,20,fabricatedDates,9
C,21,current_fact,1
C,21,confabulation,0
C,21,relationship,1
C,21,salience,0.8571428571428571
C,21,overall,0.7142857142857143
C,21,bytes,22963
C,21,noiseCount,1
C,21,fabricatedDates,9
C,22,current_fact,1
C,22,confabulation,0
C,22,relationship,1
C,22,salience,0.8571428571428571
C,22,overall,0.7142857142857143
C,22,bytes,24089
C,22,noiseCount,1
C,22,fabricatedDates,9
C,23,current_fact,1
C,23,confabulation,0
C,23,relationship,1
C,23,salience,0.8571428571428571
C,23,overall,0.7142857142857143
C,23,bytes,27539
C,23,noiseCount,1
C,23,fabricatedDates,10
C,24,current_fact,1
C,24,lineage,0
C,24,confabulation,0
C,24,relationship,1
C,24,reunion,1
C,24,trait,1
C,24,salience,0.8571428571428571
C,24,overall,0.6938775510204082
C,24,bytes,29852
C,24,noiseCount,1
C,24,fabricatedDates,10
