policy,cycle,metric,value
P0,1,current_fact,1
P0,1,confabulation,1
P0,1,relationship,1
P0,1,reunion,1
P0,1,overall,1
P0,1,aux_bytes,2205
P0,1,aux_noise,1
P0,2,current_fact,1
P0,2,confabulation,1
P0,2,relationship,1
P0,2,reunion,1
P0,2,salience,1
P0,2,overall,1
P0,2,aux_bytes,3725
P0,2,aux_noise,2
P0,3,current_fact,1
P0,3,confabulation,1
P0,3,relationship,1
P0,3,reunion,1
P0,3,salience,1
P0,3,overall,1
P0,3,aux_bytes,5034
P0,3,aux_noise,3
P0,4,current_fact,1
P0,4,confabulation,1
P0,4,relationship,1
P0,4,reunion,1
P0,4,salience,1
P0,4,overall,1
P0,4,aux_bytes,6754
P0,4,aux_noise,4
P0,5,current_fact,1
P0,5,confabulation,1
P0,5,relationship,1
P0,5,reunion,1
P0,5,salience,1
P0,5,overall,1
P0,5,aux_bytes,8363
P0,5,aux_noise,4
P0,6,current_fact,1
P0,6,confabulation,1
P0,6,relationship,1
P0,6,reunion,1
P0,6,salience,1
P0,6,overall,1
P0,6,aux_bytes,10661
P0,6,aux_noise,4
P0,7,current_fact,1
P0,7,supersession,1
P0,7,lineage,1
P0,7,confabulation,1
P0,7,relationship,1
P0,7,reunion,1
P0,7,salience,1
P0,7,overall,1
P0,7,aux_bytes,13323
P0,7,aux_noise,4
P0,8,current_fact,1
P0,8,supersession,1
P0,8,lineage,1
P0,8,confabulation,1
P0,8,relationship,1
P0,8,reunion,1
P0,8,salience,1
P0,8,overall,1
P0,8,aux_bytes,16306
P0,8,aux_noise,4
P0,9,current_fact,1
P0,9,supersession,1
P0,9,lineage,1
P0,9,confabulation,1
P0,9,relationship,1
P0,9,reunion,1
P0,9,salience,1
P0,9,overall,1
P0,9,aux_bytes,18642
P0,9,aux_noise,4
P0,10,current_fact,1
P0,10,supersession,1
P0,10,lineage,1
P0,10,confabulation,1
P0,10,relationship,1
P0,10,reunion,1
P0,10,salience,1
P0,10,overall,1
P0,10,aux_bytes,22445
P0,10,aux_noise,6
P0,11,current_fact,1
P0,11,supersession,1
P0,11,lineage,1
P0,11,confabulation,1
P0,11,relationship,1
P0,11,reunion,1
P0,11,salience,1
P0,11,overall,1
P0,11,aux_bytes,25107
P0,11,aux_noise,6
P0,12,current_fact,1
P0,12,supersession,1
P0,12,lineage,1
P0,12,confabulation,1
P0,12,relationship,1
P0,12,reunion,1
P0,12,salience,1
P0,12,overall,1
P0,12,aux_bytes,28175
P0,12,aux_noise,6
P1,1,current_fact,1
P1,1,confabulation,1
P1,1,relationship,1
P1,1,reunion,1
P1,1,overall,1
P1,1,aux_bytes,1906
P1,1,aux_noise,1
P1,2,current_fact,1
P1,2,confabulation,1
P1,2,relationship,1
P1,2,reunion,1
P1,2,salience,1
P1,2,overall,1
P1,2,aux_bytes,3226
P1,2,aux_noise,2
P1,3,current_fact,1
P1,3,confabulation,1
P1,3,relationship,1
P1,3,reunion,1
P1,3,salience,1
P1,3,overall,1
P1,3,aux_bytes,3672
P1,3,aux_noise,2
P1,4,current_fact,1
P1,4,confabulation,1
P1,4,relationship,1
P1,4,reunion,1
P1,4,salience,1
P1,4,overall,1
P1,4,aux_bytes,4508
P1,4,aux_noise,4
P1,5,current_fact,1
P1,5,confabulation,1
P1,5,relationship,1
P1,5,reunion,1
P1,5,salience,0.8571428571428571
P1,5,overall,0.9714285714285713
P1,5,aux_bytes,5044
P1,5,aux_noise,0
P1,6,current_fact,1
P1,6,confabulation,1
P1,6,relationship,1
P1,6,reunion,1
P1,6,salience,0.7142857142857143
P1,6,overall,0.9428571428571428
P1,6,aux_bytes,6002
P1,6,aux_noise,4
P1,7,current_fact,1
P1,7,supersession,1
P1,7,lineage,1
P1,7,confabulation,1
P1,7,relationship,1
P1,7,reunion,1
P1,7,salience,0.8571428571428571
P1,7,overall,0.9795918367346939
P1,7,aux_bytes,6228
P1,7,aux_noise,1
P1,8,current_fact,1
P1,8,supersession,1
P1,8,lineage,1
P1,8,confabulation,1
P1,8,relationship,1
P1,8,reunion,1
P1,8,salience,0.8571428571428571
P1,8,overall,0.9795918367346939
P1,8,aux_bytes,7226
P1,8,aux_noise,1
P1,9,current_fact,1
P1,9,supersession,1
P1,9,lineage,1
P1,9,confabulation,1
P1,9,relationship,1
P1,9,reunion,1
P1,9,salience,1
P1,9,overall,1
P1,9,aux_bytes,7981
P1,9,aux_noise,3
P1,10,current_fact,1
P1,10,supersession,1
P1,10,lineage,1
P1,10,confabulation,1
P1,10,relationship,1
P1,10,reunion,1
P1,10,salience,1
P1,10,overall,1
P1,10,aux_bytes,8888
P1,10,aux_noise,2
P1,11,current_fact,1
P1,11,supersession,1
P1,11,lineage,1
P1,11,confabulation,1
P1,11,relationship,1
P1,11,reunion,1
