policy,cycle,metric,value
P0,1,current_fact,1
P0,1,confabulation,1
P0,1,relationship,1
P0,1,reunion,1
P0,1,overall,1
P0,1,bytes,2205
P0,1,noiseCount,1
P0,2,current_fact,1
P0,2,confabulation,1
P0,2,relationship,1
P0,2,reunion,1
P0,2,salience,1
P0,2,overall,1
P0,2,bytes,3725
P0,2,noiseCount,2
P0,3,current_fact,0.75
P0,3,confabulation,0.6666666666666666
P0,3,relationship,1
P0,3,reunion,1
P0,3,salience,1
P0,3,overall,0.8833333333333332
P0,3,bytes,5034
P0,3,noiseCount,3
P0,4,current_fact,0.75
P0,4,confabulation,0.6666666666666666
P0,4,relationship,1
P0,4,reunion,1
P0,4,salience,1
P0,4,overall,0.8833333333333332
P0,4,bytes,6754
P0,4,noiseCount,4
P0,5,current_fact,0.75
P0,5,confabulation,0.6666666666666666
P0,5,relationship,1
P0,5,reunion,1
P0,5,salience,1
P0,5,overall,0.8833333333333332
P0,5,bytes,8363
P0,5,noiseCount,4
P0,6,current_fact,0.8
P0,6,confabulation,0.75
P0,6,relationship,1
P0,6,reunion,1
P0,6,salience,1
P0,6,overall,0.9099999999999999
P0,6,bytes,10661
P0,6,noiseCount,4
P0,7,current_fact,1
P0,7,supersession,1
P0,7,lineage,1
P0,7,confabulation,0.75
P0,7,relationship,1
P0,7,reunion,1
P0,7,salience,1
P0,7,overall,0.9642857142857143
P0,7,bytes,13323
P0,7,noiseCount,4
P0,8,current_fact,1
P0,8,supersession,1
P0,8,lineage,1
P0,8,confabulation,0.75
P0,8,relationship,1
P0,8,reunion,1
P0,8,salience,1
P0,8,overall,0.9642857142857143
P0,8,bytes,16306
P0,8,noiseCount,4
P0,9,current_fact,0.8
P0,9,supersession,1
P0,9,lineage,1
P0,9,confabulation,0.75
P0,9,relationship,1
P0,9,reunion,1
P0,9,salience,1
P0,9,overall,0.9357142857142857
P0,9,bytes,18642
P0,9,noiseCount,4
P0,10,current_fact,0.8
P0,10,supersession,1
P0,10,lineage,1
P0,10,confabulation,0.75
P0,10,relationship,1
P0,10,reunion,1
P0,10,salience,1
P0,10,overall,0.9357142857142857
P0,10,bytes,22445
P0,10,noiseCount,6
P0,11,current_fact,1
P0,11,supersession,1
P0,11,lineage,1
P0,11,confabulation,0.75
P0,11,relationship,1
P0,11,reunion,1
P0,11,salience,1
P0,11,overall,0.9642857142857143
P0,11,bytes,25107
P0,11,noiseCount,6
P0,12,current_fact,1
P0,12,supersession,1
P0,12,lineage,1
P0,12,confabulation,0.75
P0,12,relationship,1
P0,12,reunion,1
P0,12,salience,1
P0,12,overall,0.9642857142857143
P0,12,bytes,28175
P0,12,noiseCount,6
P1,1,current_fact,1
P1,1,confabulation,1
P1,1,relationship,1
P1,1,reunion,1
P1,1,overall,1
P1,1,bytes,1906
P1,1,noiseCount,1
P1,2,current_fact,1
P1,2,confabulation,0.5
P1,2,relationship,1
P1,2,reunion,1
P1,2,salience,1
P1,2,overall,0.9
P1,2,bytes,3226
P1,2,noiseCount,2
P1,3,current_fact,0.75
P1,3,confabulation,0.3333333333333333
P1,3,relationship,1
P1,3,reunion,1
P1,3,salience,1
P1,3,overall,0.8166666666666667
P1,3,bytes,3672
P1,3,noiseCount,2
P1,4,current_fact,0.75
P1,4,confabulation,0.6666666666666666
P1,4,relationship,1
P1,4,reunion,1
P1,4,salience,1
P1,4,overall,0.8833333333333332
P1,4,bytes,4508
P1,4,noiseCount,4
P1,5,current_fact,1
P1,5,confabulation,0.6666666666666666
P1,5,relationship,1
P1,5,reunion,1
P1,5,salience,0.8571428571428571
P1,5,overall,0.9047619047619048
P1,5,bytes,5044
P1,5,noiseCount,0
P1,6,current_fact,0.8
P1,6,confabulation,0.5
P1,6,relationship,1
P1,6,reunion,1
P1,6,salience,0.7142857142857143
P1,6,overall,0.8028571428571428
P1,6,bytes,6002
P1,6,noiseCount,4
P1,7,current_fact,0.9
P1,7,supersession,1
P1,7,lineage,1
P1,7,confabulation,0.75
P1,7,relationship,1
P1,7,reunion,1
P1,7,salience,0.8571428571428571
P1,7,overall,0.9295918367346939
P1,7,bytes,6228
P1,7,noiseCount,1
P1,8,current_fact,1
P1,8,supersession,1
P1,8,lineage,1
P1,8,confabulation,0.75
P1,8,relationship,1
P1,8,reunion,1
P1,8,salience,0.8571428571428571
P1,8,overall,0.9438775510204082
P1,8,bytes,7226
P1,8,noiseCount,1
P1,9,current_fact,1
P1,9,supersession,1
P1,9,lineage,1
P1,9,confabulation,0.75
P1,9,relationship,1
P1,9,reunion,1
P1,9,salience,1
P1,9,overall,0.9642857142857143
P1,9,bytes,7981
P1,9,noiseCount,3
P1,10,current_fact,1
P1,10,supersession,1
P1,10,lineage,1
P1,10,confabulation,0.5
P1,10,relationship,1
P1,10,reunion,1
P1,10,salience,1
